대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2526,서울특별시 중구 삼일대로 362 롯데시티호텔 명동,,37.566917,126.987831,중구,357.0,16.227272727272727
ST-2525,서울특별시 중구 저동2가 22-1,,37.56459,126.990768,중구,406.0,18.454545454545453
ST-2524,서울특별시 중구 동호로24길7,,37.559586,127.00547,중구,,
ST-2523,서울특별시 중구 삼일대로 343-1 가로판매대38,,37.565208,126.987396,중구,,
ST-2522,서울특별시 중구 퇴계로 77 신세계백화점,,37.560276,126.981392,중구,266.0,12.090909090909092
ST-2521,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,,37.565891,126.984451,중구,406.0,18.454545454545453
ST-2520,서울특별시 중구 을지로1가 140-1,,37.565903,126.981781,중구,423.0,19.227272727272727
ST-252,서울특별시 광진구 중곡동 263-1,군자교교차로,37.559795,127.074203,광진구,967.0,60.4375
ST-2519,서울특별시 중구 서소문동58-6,,37.562534,126.972496,중구,76.0,4.470588235294118
ST-2518,서울특별시 중구 태평로1가 60-20,,37.567017,126.976837,중구,761.0,34.59090909090909
ST-2517,서울특별시 중구 남대문로 109,,37.566933,126.982582,중구,496.0,22.545454545454547
ST-2516,서울특별시 중구 초동 107-12,,37.564743,126.990952,중구,311.0,14.136363636363637
ST-2515,서울특별시 중구 태평로1가61-29,,37.567776,126.977333,중구,,
ST-2514,서울특별시 중구 서소문로 103,,37.562843,126.972618,중구,394.0,17.90909090909091
ST-2513,서울특별시 종로구 관수동91-1,,37.568558,126.992119,종로구,,
ST-2512,서울특별시 종로구 낙산길198(창신3동),,37.581375,127.012413,종로구,,
ST-2511,서울특별시 종로구 낙산길198(창신3동),,37.581314,127.01268,종로구,,
ST-2510,서울특별시 성북구 하월곡동 225-9,,37.612495,127.037201,성북구,,
ST-251,서울특별시 성동구 마장동 610,서울시설공단 앞,37.57164,127.03566,성동구,1050.0,55.26315789473684
ST-2509,서울특별시 동대문구 사가정로 200,,37.578468,127.066895,동대문구,526.0,32.875
